tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyAcc-mad()-X,tBodyAcc-mad()-Y,tBodyAcc-mad()-Z,tBodyAcc-max()-X,tBodyAcc-max()-Y,tBodyAcc-max()-Z,tBodyAcc-min()-X,tBodyAcc-min()-Y,tBodyAcc-min()-Z,subject,Activity
0.28858451,-0.020294171,-0.13290514,-0.9952786,-0.98311061,-0.91352645,-0.99511208,-0.98318457,-0.92352702,-0.93472378,-0.56737807,-0.74441253,0.85294738,0.68584458,0.81426278,1,STANDING
0.27841883,-0.016410568,-0.12352019,-0.99824528,-0.97530022,-0.96032199,-0.99880719,-0.97491437,-0.95768622,-0.94306751,-0.55785126,-0.81840869,0.84930787,0.68584458,0.82263681,1,STANDING
0.27965306,-0.019467156,-0.11346169,-0.99537956,-0.96718701,-0.97894396,-0.99651994,-0.96366837,-0.97746859,-0.93869155,-0.55785126,-0.81840869,0.84360895,0.68240094,0.83934417,1,STANDING
0.27917394,-0.026200646,-0.12328257,-0.99609149,-0.9834027,-0.9906751,-0.99709947,-0.98274984,-0.9893025,-0.93869155,-0.57615889,-0.82971145,0.84360895,0.68240094,0.83786929,1,STANDING
0.27662877,-0.016569655,-0.11536185,-0.99813862,-0.98081727,-0.99048163,-0.99832113,-0.97967187,-0.99044113,-0.94246912,-0.56917385,-0.82470529,0.84909512,0.68324978,0.83786929,1,STANDING
0.27719877,-0.01009785,-0.10513725,-0.99733496,-0.99048681,-0.99542003,-0.9976274,-0.99021769,-0.9955489,-0.94246912,-0.56568389,-0.82276614,0.84909512,0.69558572,0.84592156,1,STANDING
0.27945388,-0.019640776,-0.11002215,-0.99692104,-0.96718593,-0.98311783,-0.99700268,-0.96609671,-0.98311627,-0.94098663,-0.56568389,-0.81718902,0.85104022,0.67434716,0.83359122,1,STANDING
0.27743247,-0.030488303,-0.12536043,-0.99655926,-0.96672843,-0.98158533,-0.99648525,-0.96631315,-0.98298176,-0.94098663,-0.57263824,-0.81718902,0.85032778,0.67041013,0.83238324,1,STANDING
0.27729342,-0.021750698,-0.12075082,-0.99732847,-0.96124532,-0.98367156,-0.99759576,-0.95723623,-0.98437928,-0.94059758,-0.56417505,-0.82352693,0.85032778,0.67041013,0.83238324,1,STANDING
0.28058569,-0.009960298,-0.10606516,-0.99480344,-0.9727584,-0.98624387,-0.99540462,-0.97366322,-0.98564195,-0.94002751,-0.55459369,-0.81585037,0.84544241,0.68475694,0.83845531,1,STANDING
0.27688027,-0.012721805,-0.10343832,-0.99481511,-0.97307692,-0.98535702,-0.99550927,-0.97394796,-0.98517247,-0.94002751,-0.55459369,-0.81585037,0.84544241,0.68475694,0.83845531,1,STANDING
0.27622817,-0.021441302,-0.10820234,-0.99824595,-0.98721376,-0.99272659,-0.99825127,-0.98599654,-0.99318188,-0.94390578,-0.57142214,-0.82069493,0.85053227,0.6865276,0.84601343,1,STANDING
0.278457,-0.020414761,-0.11273172,-0.99913488,-0.98468004,-0.99627424,-0.99907654,-0.98293702,-0.99641031,-0.94390578,-0.56970419,-0.82503369,0.85206858,0.6865276,0.84601343,1,STANDING
0.27717497,-0.014712802,-0.10675647,-0.99918834,-0.99052638,-0.99336501,-0.99921135,-0.99068725,-0.99216753,-0.94332286,-0.56935747,-0.8225147,0.85203494,0.6926473,0.8463496,1,STANDING
0.29794572,0.027093908,-0.061668123,-0.98864079,-0.8166986,-0.90190653,-0.98895795,-0.79428042,-0.8880146,-0.92597669,-0.44846574,-0.73057881,0.84866648,0.68064999,0.83820463,1,STANDING
0.27920345,-0.023020143,-0.12208028,-0.99683904,-0.97484812,-0.98338551,-0.99709389,-0.97333193,-0.98406535,-0.9417158,-0.57093916,-0.81763455,0.84866648,0.68064999,0.83820463,1,STANDING
